Production Order No.,Line No.,Item No.,Quantity,Unit of Measure,Location Code,Bin Code,EntryType,Date Time,User,Status,Error,Error Message
,1000,Row Labels,Count of Quantity,,,,,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1030_050425,2000,G0110,350,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1030_050425,3000,KG,350,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1030_050425,4000,G1030,350,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1030_050425,5000,KG,350,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1228_050425,6000,G0110,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1228_050425,7000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1228_050425,8000,G1228,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1228_050425,9000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1229_050425,10000,G0110,2,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1229_050425,11000,KG,2,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1229_050425,12000,G1229,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1229_050425,13000,KG,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1234_050425,14000,G0110,15,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1234_050425,15000,KG,15,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1234_050425,16000,G1234,15,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1234_050425,17000,KG,15,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1235_050425,18000,G0110,3,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1235_050425,19000,KG,3,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1235_050425,20000,G1235,3,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1235_050425,21000,KG,3,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1236_050425,22000,G0110,9,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1236_050425,23000,KG,9,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1236_050425,24000,G1236,9,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1236_050425,25000,KG,9,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1238_050425,26000,G0110,3,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1238_050425,27000,KG,3,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1238_050425,28000,G1238,3,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1238_050425,29000,KG,3,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,30000,G0110,3,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,31000,KG,3,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,32000,G1251,3,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,33000,KG,3,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,34000,P01_G1031_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,35000,G0111,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,36000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,37000,G1031,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,38000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,39000,P01_G1234_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,40000,G0111,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,41000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,42000,G1234,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,43000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,44000,P01_G1235_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,45000,G0111,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,46000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,47000,G1235,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,48000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,49000,P01_G1236_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,50000,G0111,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,51000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,52000,G1236,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,53000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,54000,P01_G1238_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,55000,G0111,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,56000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,57000,G1238,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,58000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,59000,P02_G1100_050425,292,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,60000,G1030,146,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,61000,KG,146,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,62000,G1100,146,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,63000,KG,146,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,64000,P02_G1101_050425,292,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,65000,G1030,146,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,66000,KG,146,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,67000,G1101,146,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,68000,KG,146,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,69000,P02_G1102_050425,292,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,70000,G1030,146,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,71000,KG,146,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,72000,G1102,146,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,73000,KG,146,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,74000,P02_G1242_050425,12,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,75000,G1030,6,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,76000,KG,6,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,77000,G1242,6,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,78000,KG,6,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,79000,P02_G1243_050425,36,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,80000,G1030,18,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,81000,KG,18,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,82000,G1243,18,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,83000,KG,18,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,84000,P03_G1108_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,85000,G1031,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,86000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,87000,G1108,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,88000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,89000,P03_G1109_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,90000,G1031,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,91000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,92000,G1109,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,93000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,94000,P03_G1110_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,95000,G1031,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,96000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,97000,G1110,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,98000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,99000,P04_G1121_050425,22,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,100000,G1100,11,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,101000,KG,11,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,102000,G1121,11,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,103000,KG,11,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,104000,P04_G1123_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,105000,G1100,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,106000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,107000,G1123,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,108000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,109000,P04_G1125_050425,8,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,110000,G1100,4,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,111000,KG,4,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,112000,G1125,4,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,113000,KG,4,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,114000,P04_G1126_050425,296,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,115000,G1100,148,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,116000,KG,148,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,117000,G1126,148,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,118000,KG,148,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,119000,P04_G1132_050425,2,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,120000,G1100,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,121000,KG,1,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,122000,G1132,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,123000,KG,1,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,124000,P04_G1137_050425,18,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,125000,G1100,9,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,126000,KG,9,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,127000,G1137,9,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,128000,KG,9,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,129000,P04_G1229_050425,8,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,130000,G1100,4,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,131000,KG,4,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,132000,G1229,4,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,133000,KG,4,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,134000,P04_G1231_050425,60,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,135000,G1100,30,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,136000,KG,30,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,137000,G1231,30,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,138000,KG,30,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,139000,P04_G1334_050425,26,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,140000,G1100,13,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,141000,KG,13,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,142000,G1334,13,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,143000,KG,13,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,144000,P05_G1189_050425,70,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,145000,G1102,35,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,146000,KG,35,,,,Consumption,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
P00_G1251_050425,147000,G1189,35,,,,Output,2025-05-14T19:18:50.827Z,DKIBOWEN,Pending,false,
